RKI_ID,is_east
01001,0
01002,0
01003,0
01004,0
01051,0
01053,0
01054,0
01055,0
01056,0
01057,0
01058,0
01059,0
01060,0
01061,0
01062,0
02000,0
03101,0
03102,0
03103,0
03151,0
03153,0
03154,0
03155,0
03157,0
03158,0
03159,0
03241,0
03251,0
03252,0
03254,0
03255,0
03256,0
03257,0
03351,0
03352,0
03353,0
03354,0
03355,0
03356,0
03357,0
03358,0
03359,0
03360,0
03361,0
03401,0
03402,0
03403,0
03404,0
03405,0
03451,0
03452,0
03453,0
03454,0
03455,0
03456,0
03457,0
03458,0
03459,0
03460,0
03461,0
03462,0
04011,0
04012,0
05111,0
05112,0
05113,0
05114,0
05116,0
05117,0
05119,0
05120,0
05122,0
05124,0
05154,0
05158,0
05162,0
05166,0
05170,0
05314,0
05315,0
05316,0
05334,0
05358,0
05362,0
05366,0
05370,0
05374,0
05378,0
05382,0
05512,0
05513,0
05515,0
05554,0
05558,0
05562,0
05566,0
05570,0
05711,0
05754,0
05758,0
05762,0
05766,0
05770,0
05774,0
05911,0
05913,0
05914,0
05915,0
05916,0
05954,0
05958,0
05962,0
05966,0
05970,0
05974,0
05978,0
06411,0
06412,0
06413,0
06414,0
06431,0
06432,0
06433,0
06434,0
06435,0
06436,0
06437,0
06438,0
06439,0
06440,0
06531,0
06532,0
06533,0
06534,0
06535,0
06611,0
06631,0
06632,0
06633,0
06634,0
06635,0
06636,0
07111,0
07131,0
07132,0
07133,0
07134,0
07135,0
07137,0
07138,0
07140,0
07141,0
07143,0
07211,0
07231,0
07232,0
07233,0
07235,0
07311,0
07312,0
07313,0
07314,0
07315,0
07316,0
07317,0
07318,0
07319,0
07320,0
07331,0
07332,0
07333,0
07334,0
07335,0
07336,0
07337,0
07338,0
07339,0
07340,0
08111,0
08115,0
08116,0
08117,0
08118,0
08119,0
08121,0
08125,0
08126,0
08127,0
08128,0
08135,0
08136,0
08211,0
08212,0
08215,0
08216,0
08221,0
08222,0
08225,0
08226,0
08231,0
08235,0
08236,0
08237,0
08311,0
08315,0
08316,0
08317,0
08325,0
08326,0
08327,0
08335,0
08336,0
08337,0
08415,0
08416,0
08417,0
08421,0
08425,0
08426,0
08435,0
08436,0
08437,0
09161,0
09162,0
09163,0
09171,0
09172,0
09173,0
09174,0
09175,0
09176,0
09177,0
09178,0
09179,0
09180,0
09181,0
09182,0
09183,0
09184,0
09185,0
09186,0
09187,0
09188,0
09189,0
09190,0
09261,0
09262,0
09263,0
09271,0
09272,0
09273,0
09274,0
09275,0
09276,0
09277,0
09278,0
09279,0
09361,0
09362,0
09363,0
09371,0
09372,0
09373,0
09374,0
09375,0
09376,0
09377,0
09461,0
09462,0
09463,0
09464,0
09471,0
09472,0
09473,0
09474,0
09475,0
09476,0
09477,0
09478,0
09479,0
09561,0
09562,0
09563,0
09564,0
09565,0
09571,0
09572,0
09573,0
09574,0
09575,0
09576,0
09577,0
09661,0
09662,0
09663,0
09671,0
09672,0
09673,0
09674,0
09675,0
09676,0
09677,0
09678,0
09679,0
09761,0
09762,0
09763,0
09764,0
09771,0
09772,0
09773,0
09774,0
09775,0
09776,0
09777,0
09778,0
09779,0
09780,0
10041,0
10042,0
10043,0
10044,0
10045,0
10046,0
11001,0.5
11002,0.5
11003,0.5
11004,0.5
11005,0.5
11006,0.5
11007,0.5
11008,0.5
11009,0.5
11010,0.5
11011,0.5
11012,0.5
12051,1
12052,1
12053,1
12054,1
12060,1
12061,1
12062,1
12063,1
12064,1
12065,1
12066,1
12067,1
12068,1
12069,1
12070,1
12071,1
12072,1
12073,1
13003,1
13004,1
13071,1
13072,1
13073,1
13074,1
13075,1
13076,1
14511,1
14521,1
14522,1
14523,1
14524,1
14612,1
14625,1
14626,1
14627,1
14628,1
14713,1
14729,1
14730,1
15001,1
15002,1
15003,1
15081,1
15082,1
15083,1
15084,1
15085,1
15086,1
15087,1
15088,1
15089,1
15090,1
15091,1
16051,1
16052,1
16053,1
16054,1
16055,1
16056,1
16061,1
16062,1
16063,1
16064,1
16065,1
16066,1
16067,1
16068,1
16069,1
16070,1
16071,1
16072,1
16073,1
16074,1
16075,1
16076,1
16077,1
